preset,quantity,recommended_preset,state,status,value
MEDIUM,Cl_delta_r,FINE,high_alpha_beta,FAIL,-0.1012852
MEDIUM,Cn_delta_r,FINE,high_alpha_beta,FAIL,-0.0524844
FINE,CL,FINE,high_alpha_beta,FAIL,0.8833554
FINE,CD,FINE,high_alpha_beta,FAIL,0.0590064
FINE,CY,FINE,high_alpha_beta,FAIL,-0.0102264
FINE,Cl,FINE,high_alpha_beta,FAIL,-0.0048202
FINE,Cm,FINE,high_alpha_beta,FAIL,-0.2272095
FINE,Cn,FINE,high_alpha_beta,FAIL,0.001043
FINE,CL_alpha,FINE,high_alpha_beta,FAIL,5.2660262
FINE,CD_alpha,FINE,high_alpha_beta,FAIL,0.9841983
FINE,Cm_alpha,FINE,high_alpha_beta,FAIL,1.7009876
FINE,CL_q,FINE,high_alpha_beta,FAIL,8.9431597
FINE,Cm_q,FINE,high_alpha_beta,FAIL,-12.7919974
FINE,CY_beta,FINE,high_alpha_beta,FAIL,-1.1736429
FINE,Cl_beta,FINE,high_alpha_beta,FAIL,-0.4262879
FINE,Cn_beta,FINE,high_alpha_beta,FAIL,0.7260041
FINE,CY_p,FINE,high_alpha_beta,FAIL,-0.019725
FINE,Cl_p,FINE,high_alpha_beta,FAIL,-0.4941211
FINE,Cn_p,FINE,high_alpha_beta,FAIL,-0.11249
FINE,CY_r,FINE,high_alpha_beta,FAIL,0.3998079
FINE,Cl_r,FINE,high_alpha_beta,FAIL,0.1158233
FINE,Cn_r,FINE,high_alpha_beta,FAIL,-0.0981508
FINE,CL_delta_e,FINE,high_alpha_beta,FAIL,0.6048773
FINE,CD_delta_e,FINE,high_alpha_beta,FAIL,0.0897947
FINE,Cm_delta_e,FINE,high_alpha_beta,FAIL,-1.7613353
FINE,CY_delta_a,FINE,high_alpha_beta,FAIL,-0.0256665
FINE,Cl_delta_a,FINE,high_alpha_beta,FAIL,-0.5314041
FINE,Cn_delta_a,FINE,high_alpha_beta,FAIL,-0.1147407
FINE,CY_delta_r,FINE,high_alpha_beta,FAIL,-0.2023623
FINE,Cl_delta_r,FINE,high_alpha_beta,FAIL,0.0083615
FINE,Cn_delta_r,FINE,high_alpha_beta,FAIL,0.1384337
